URL,Size,OutLinks,ContentType
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-180x180.png,3165,0,image/png
http://www.bostonglobe.com/lifestyle/crossword?p1=BGMenu_Subnav,120567,80,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-120x120.png,2088,0,image/png
http://www.bostonglobe.com/metro?p1=BGMenu,91970,187,text/html
http://www.bostonglobe.com/arts?p1=BGMenu,93808,209,text/html
http://www.bostonglobe.com/?p1=BGMenu_Logo,115135,321,text/html
http://www.bostonglobe.com/sports/patriots/2017/10/01/officially-time-worried-about-patriots-defense/PaLYap6mBJXbVZDnu2nE7J/story.html?p1=BGMenu_Article,7666,19,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-60x60.png,1150,0,image/png
http://www.bostonglobe.com/img/masthead/newspaper.png,82008,0,image/png
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-57x57.png,1096,0,image/png
https://www.bostonglobe.com/metro/2017/10/01/whites-only-usa-racist-pro-trump-graffitifound-salem-state/hlEmzRHKq2BWMJnHfEF7YI/amp.html,24889,17,text/html
https://www.bostonglobe.com/rf/image_r/Boston/2011-2020/2017/10/02/BostonGlobe.com/Metro/Images/davs_lib5_nowk-2259.r.jpg,26210,0,image/jpeg
https://www.bostonglobe.com/metro?p1=BGHeader_SectionLink,91970,188,text/html
https://www.bostonglobe.com/news/world/2017/10/01/trump-says-tillerson-wasting-his-time-with-north-korea/J7DxfqV8DLtMulaePJu0wL/amp.html,29880,15,text/html
https://www.bostonglobe.com/news/nation/2017/09/30/direct-contact-with-north-korea-tillerson-says/ohfWiOyxz9HgCavDqxE30O/story.html?p1=Article_Related_Box_Article,50538,88,text/html
https://www.bostonglobe.com/rf/image_r/Boston/2011-2020/2017/10/01/BostonGlobe.com/Metro/Images/AFP_T02HP.r.jpg,16887,0,image/jpeg
https://www.bostonglobe.com/news/world?p1=BGHeader_SectionLink,58779,141,text/html
https://www.bostonglobe.com/magazine/2017/08/13,73518,189,text/html
